episode,reward
48138755,1.145
48215329,1.785
48291831,-0.135
48368246,2.165
48444458,-0.86
48520675,-0.555
48597059,0.595
48673078,0.445
48749324,2.275
48825517,1.255
48901595,0.465
48974923,-1.33
49038779,-2.035
49101851,8.42
49167314,4.085
49232146,2.805
49293628,-1.49
49353598,3.18
49414916,-18.705
49474258,-3.225
49534356,12.66
49592086,-2.945
49650840,1.415
49710540,5.04
49768792,10.405
49824800,-1.62
49884506,-0.4
49944847,5.6
50007993,-10.325
50069951,-1.08
50128370,2.46
50185134,-2.715
50242364,-1.48
50299346,3.18
50355475,1.03
50413501,-2.065
50473238,3.57
50533623,-6.87
50591575,5.795
50649741,-6.615
