episode,reward
8935913,-0.0975
8955448,-0.0925
8974766,0.2025
8994258,0.1075
9013439,0.23
9032474,-0.13
9051582,-0.01
9071096,0.1725
9089941,0.3325
9109174,-0.2925
9128397,0.025
9147464,0.1775
9167058,0.135
9186173,-0.005
9205219,0.0625
9224156,0.3125
9243430,0.0575
9262694,0.02
9283084,0.3225
9310392,0.58
9338834,0.3175
9366928,0.3275
9395417,0.4375
9423556,0.24
9451478,0.115
9479451,0.145
9506727,0.18
9535311,0.03
9564103,0.57
9593151,0.5025
9621224,0.3225
9649784,0.145
9678124,0.095
9706814,0.475
9734906,-0.065
9762862,0.245
9791186,0.4375
9819222,0.3625
9846915,-0.005
9874703,-0.105
