episode,reward
42052856,-0.175
42080382,-0.1525
42107549,-0.1025
42135126,-0.115
42162257,0.015
42189725,-0.29
42216967,-0.09
42244370,-0.2975
42271866,-0.115
42299017,-0.3175
42326326,-0.2625
42353473,-0.08
42381087,-0.055
42408140,-0.13
42435617,-0.275
42463281,-0.005
42491157,-0.0825
42518397,0.015
42545739,-0.315
42573496,-0.1125
42600759,-0.465
42628038,-0.1325
42655926,-0.2075
42683540,-0.095
42710844,-0.115
42737958,-0.125
42765086,-0.0175
42792487,0.0075
42819867,-0.2
42847415,-0.12
42874974,0.0975
42902244,0.0525
42929817,-0.225
42957219,-0.015
42984340,-0.0825
43011532,0.01
43039077,-0.1175
43066558,-0.04
43093917,-0.23
43121370,-0.1875
