episode,reward
21456211,-0.27
21466276,-0.2
21476335,-0.12
21486396,-0.05
21496459,-0.165
21506517,-0.155
21516580,-0.175
21526638,-0.26
21536706,-0.07
21546766,-0.165
21556837,-0.185
21566899,-0.145
21576962,-0.17
21587023,-0.3
21597083,-0.06
21607143,-0.21
21620768,-0.33
21636079,-0.225
21650940,-0.005
21665199,-0.06
21679111,-0.05
21693039,-0.13
21706724,0.02
21720341,-0.18
21734119,-0.155
21748230,0.01
21761984,-0.21
21775803,0.005
21789598,0.015
21803223,-0.04
21817044,-0.185
21830696,-0.095
21844686,-0.07
21858381,-0.045
21872407,-0.05
21886254,0.01
21900156,0.05
21914029,-0.065
21928078,0.04
21942004,-0.015
