episode,reward
23452998,-0.195
23463057,-0.215
23473118,-0.22
23483180,-0.155
23493244,-0.265
23503305,0.065
23513363,-0.205
23523423,-0.145
23533484,-0.235
23543550,-0.23
23553615,-0.275
23563669,-0.255
23573727,-0.195
23583787,-0.21
23594007,-0.14
23608722,-0.18
23621807,-0.245
23634826,-0.08
23647726,-0.025
23660996,-0.1
23674230,-0.19
23687726,0.045
23701050,-0.025
23714579,-0.13
23728109,-0.23
23742078,-0.12
23755936,-0.125
23769506,-0.12
23783134,-0.075
23796915,-0.12
23810454,-0.01
23824017,-0.09
23837544,-0.01
23851162,-0.13
23864793,-0.09
23878153,-0.055
23891649,0.03
23905173,-0.045
23918822,-0.055
23932704,-0.115
