episode,reward
40502515,0.3425
40533008,-0.18
40563658,0.04
40594446,0.205
40625166,0.01
40656111,0.2725
40686437,-0.085
40717190,0.0875
40747796,0.0475
40776979,0.235
40809318,0.98
40842748,0.6
40877412,1.0625
40911645,1.185
40947366,0.9275
40983593,0.7325
41022810,1.0575
41062434,0.9325
41102187,1.4825
41142496,0.56
41182206,1.61
41224160,1.4075
41266115,1.565
41309465,1.75
41352341,1.6325
41395479,1.5125
41437114,1.0075
41480502,1.515
41522577,1.3175
41563446,1.63
41605958,1.5175
41649674,1.8675
41694252,1.4975
41739358,1.74
41784264,2.235
41828048,1.595
41872751,1.6025
41917840,1.61
41962655,2.21
42007329,1.58
