episode,reward
60147516,-33.215
60212140,-36.335
60276625,-33.55
60341650,-34.06
60406235,-34.625
60471399,-33.935
60536367,-35.14
60600969,-34.795
60665973,-33.145
60713494,-6.215
60761038,-17.855
60809872,-2.28
60859939,-3.685
60910988,0.765
60962788,-4.545
61016524,-5.38
61070055,-3.055
61123309,-7.07
61176324,-9.845
61228493,-2.59
61281088,-5.395
61333633,2.285
61385328,-6.125
61436677,22.66
61487731,-4.61
61538560,-0.87
61588308,0.985
61638586,-5.13
61687657,-1.46
61736315,6.365
61784898,-4.605
61832915,2.33
61881703,8.485
61930018,1.645
61977671,0.99
62025061,4.82
62073087,-3.13
62120317,-6.57
62167925,3.51
62215642,-12.1
