episode,reward
9381516,-0.765
9395509,-0.72
9409756,-0.705
9423989,-0.76
9438144,-0.71
9452162,-0.815
9466226,-0.74
9480401,-0.845
9494609,-0.77
9509840,-0.95
9521172,-0.255
9532093,-0.19
9544254,-0.115
9557527,-0.075
9570549,-0.17
9583848,-0.03
9597286,-0.185
9610691,-0.17
9623815,-0.055
9637138,0.005
9650431,-0.14
9663757,-0.07
9676822,-0.12
9690273,-0.085
9703134,-0.115
9716202,-0.1
9729287,-0.065
9742438,-0.12
9755709,-0.13
9768953,-0.11
9781994,-0.005
9795143,-0.08
9808330,-0.1
9821633,-0.135
9834760,-0.155
9848038,-0.135
9861086,-0.05
9874261,0.0
9887611,-0.11
9900804,-0.145
