episode,reward
4673513,-0.0325
4692554,0.115
4711680,0.205
4731016,0.205
4749734,0.025
4768859,0.0775
4788269,0.155
4807436,0.005
4826587,0.01
4845662,0.1425
4864734,0.1925
4883948,0.0325
4903103,0.0675
4922185,-0.0075
4941162,0.0775
4960372,0.315
4979660,0.12
4998591,0.155
5017563,-0.095
5036699,0.03
5055934,-0.015
5075115,0.1675
5094337,0.08
5113315,-0.0775
5132333,-0.0025
5151161,0.135
5170192,0.155
5189162,-0.115
5208327,0.285
5227518,-0.145
5246507,0.175
5265466,0.0925
5284245,0.445
5303323,0.0475
5322652,-0.12
5341775,0.1075
5360901,0.0525
5379996,0.1875
5399130,0.0025
5418259,-0.0075
