episode,reward
44299428,0.06
44317172,0.075
44334830,0.0425
44352293,0.1575
44370313,0.105
44388079,0.0925
44405598,0.2325
44423386,-0.05
44441025,0.0925
44458836,-0.0925
44476448,0.1225
44494142,0.0475
44511793,0.2425
44529170,0.1
44546650,0.2
44564389,0.0575
44581717,0.1675
44599319,0.2525
44616928,0.1275
44634847,0.08
44652524,0.35
44676895,0.35
44705390,0.25
44734197,0.7125
44763588,0.3925
44792581,0.545
44821707,0.46
44850887,0.6525
44880484,0.3825
44909720,0.205
44938392,0.3075
44967650,0.5975
44997470,0.6925
45027652,0.055
45057415,0.7025
45087182,-0.1625
45116909,-0.0575
45147088,0.2
45177254,0.355
45207649,-0.1725
