episode,reward
8560303,-0.08
8589164,0.015
8617545,-0.1075
8645711,-0.2
8674433,-0.135
8703173,0.0175
8731733,-0.0675
8760338,0.0525
8788877,0.0625
8817547,0.05
8846346,-0.0325
8875166,-0.11
8903461,0.055
8932299,-0.0075
8960806,-0.0925
8989436,0.0275
9017718,0.12
9046379,0.0025
9074769,-0.1125
9103585,0.03
9132370,-0.0975
9160940,-0.135
9189316,-0.0675
9218119,-0.11
9246607,-0.3375
9276034,-0.2925
9305104,0.0775
9333614,0.1625
9362269,-0.125
9390984,-0.1075
9419505,-0.295
9448428,-0.1425
9477376,0.04
9505946,-0.0025
9534298,0.0275
9562808,-0.2175
9591588,-0.385
9620238,-0.13
9648837,0.0
9677280,-0.01
