episode,reward
25955675,0.0225
25984316,-0.065
26012666,0.0075
26040948,-0.2075
26069888,0.0425
26098826,-0.0625
26127220,-0.035
26156020,-0.21
26184875,-0.115
26213036,0.0175
26241370,0.1275
26269973,0.0575
26298425,-0.155
26327100,-0.3025
26355872,-0.065
26384734,-0.005
26413285,0.0825
26441810,-0.1025
26470485,-0.07
26506188,0.9675
26548298,1.7125
26589708,1.68
26631564,1.08
26675665,1.725
26720584,1.7375
26765123,1.2525
26809757,0.95
26854363,1.6425
26901307,2.1125
26947567,1.7675
26993621,2.255
27039078,1.6225
27085313,1.5825
27131288,1.26
27176311,2.2675
27222949,1.755
27269721,1.9425
27314913,1.1825
27360402,1.6275
27407440,1.98
