episode,reward
10750088,-3.605
10781260,-3.97
10812392,-3.59
10843394,-3.325
10874525,-3.635
10905807,-3.325
10936928,-3.5
10968312,-3.2
11000277,13.14
11043559,8.27
11086594,8.395
11129352,13.41
11172119,11.57
11214444,14.495
11256791,14.27
11298058,9.73
11338677,18.31
11378986,11.34
11418891,15.59
11458176,11.12
11497474,10.56
11537057,8.805
11575757,8.97
11614240,11.265
11652156,6.035
11689889,15.285
11726707,7.305
11763796,7.905
11801798,7.6
11838859,11.425
11876287,5.33
11915152,8.93
11953937,9.89
11992807,10.89
12031708,9.585
12071070,12.055
12110612,9.845
12149851,3.425
12189138,1.695
12229474,8.18
