episode,reward
14591166,0.1175
14609862,0.125
14629096,0.1625
14647883,0.2475
14666698,0.1575
14685880,0.0425
14704896,0.11
14724091,0.0525
14743131,0.14
14762269,0.2875
14781499,0.28
14800502,0.13
14819065,-0.1575
14838207,0.255
14857092,0.2
14876060,0.0625
14894996,0.105
14913922,0.04
14932751,0.0725
14952112,-0.0825
14970994,0.0
14990170,0.1825
15009104,0.175
15028128,0.1275
15047085,0.1725
15066233,0.11
15085281,0.07
15104463,0.05
15123419,0.125
15142307,0.0825
15161200,-0.01
15180475,-0.1625
15199579,0.0225
15218428,0.035
15237546,-0.1025
15256468,-0.055
15275545,0.235
15294700,0.205
15313824,0.205
15333092,0.1225
