episode,reward
31837017,0.16
31854719,0.0725
31872393,0.2
31890231,-0.1075
31908282,0.1275
31926201,0.0975
31944166,-0.225
31961971,0.045
31979891,0.0325
31997450,0.1875
32015142,0.0
32032927,0.17
32050739,0.0025
32068553,0.1225
32086026,-0.0575
32103813,-0.005
32121686,-0.03
32139584,0.065
32157085,0.015
32174931,0.1075
32192768,0.215
32210439,-0.1
32228162,0.0925
32245882,0.0
32263430,-0.015
32281097,0.05
32299162,0.0875
32316690,0.2375
32334509,0.1275
32353055,0.29
32374912,0.09
32396938,-0.095
32420543,0.2025
32443986,0.0825
32468084,0.055
32491254,0.705
32514823,0.52
32538258,-0.1075
32562396,-0.245
32586526,0.4275
