episode,reward
50751597,-0.14
50781894,0.0425
50812910,-0.0975
50843964,-0.0075
50874359,-0.13
50905149,-0.31
50935891,0.175
50967225,0.785
51008161,1.4875
51044836,0.96
51085423,1.5625
51126732,1.41
51169050,1.685
51212299,1.06
51255744,0.9525
51299854,1.6225
51345136,1.8125
51390316,1.91
51435795,1.7175
51481255,1.4825
51526940,1.9525
51572742,1.6725
51619059,1.82
51666161,2.23
51712521,1.72
51759389,1.6075
51806035,1.58
51852988,1.925
51898576,2.205
51944776,1.6475
51991300,1.69
52037496,1.685
52084028,1.495
52130498,2.015
52177183,1.6725
52224020,1.8075
52270647,2.47
52318398,2.0525
52365527,2.0025
52413473,2.495
