episode,reward
2256404,-0.99
2275111,-0.98
2293863,-1.0
2312716,-1.0
2331505,-1.0
2348427,-0.75
2362635,-0.75
2377012,-0.82
2391323,-0.76
2405899,-0.83
2420314,-0.81
2434364,-0.85
2448750,-0.8
2463243,-0.78
2477902,-0.95
2492562,-0.77
2507323,-0.84
2521973,-0.82
2536816,-0.87
2551675,-0.86
2566807,-0.83
2582085,-0.89
2597486,-0.91
2613155,-0.86
2629257,-0.93
2645939,-0.94
2663206,-0.95
2680886,-0.98
2699281,-0.99
2718167,-1.0
2737224,-1.0
2756481,-1.0
2775780,-1.0
2795084,-1.0
2814300,-1.0
2833404,-0.98
2852371,-0.855
2871105,-0.695
2889341,-0.6
2907565,-0.39
