# _tick,_time,frames,mean_episode_return_0,loss_0
0,1712641309.3653018,0,-0.15231788158416748,0.9144282341003418
1,1712641310.5125818,3200,-0.15655580163002014,1.1879445314407349
2,1712641311.9073298,6400,-0.18008466064929962,1.357635498046875
3,1712641313.0296645,9600,-0.26537543535232544,0.9044853448867798
4,1712641314.267968,12800,-0.30854153633117676,0.7232320308685303
5,1712641315.5019488,16000,-0.2944249212741852,1.096295952796936
6,1712641316.8564816,19200,-0.2782934606075287,0.9287014603614807
7,1712641318.1168811,22400,-0.26710352301597595,0.9203539490699768
8,1712641319.3436098,25600,-0.25954878330230713,0.8914151191711426
9,1712641320.6099303,28800,-0.2514025568962097,0.8893291354179382
10,1712641321.9336376,32000,-0.2458747923374176,0.8742467761039734
11,1712641323.1378882,35200,-0.23747308552265167,0.8834419250488281
12,1712641324.4310634,38400,-0.2316063791513443,0.8943873047828674
13,1712641325.6707237,41600,-0.22804372012615204,0.8518861532211304
14,1712641326.888987,44800,-0.22522544860839844,0.8386300802230835
15,1712641328.164739,48000,-0.22030730545520782,0.9606889486312866
16,1712641329.3761275,51200,-0.21734566986560822,0.9511585831642151
17,1712641330.6478338,54400,-0.2111572027206421,0.8829032182693481
18,1712641331.864073,57600,-0.20647241175174713,0.8652879595756531
19,1712641333.0861359,60800,-0.2018432915210724,0.874363124370575
20,1712641334.2991354,64000,-0.19805140793323517,0.8554723858833313
21,1712641335.5497313,67200,-0.1940026730298996,0.8574152588844299
22,1712641336.7801273,70400,-0.19099189341068268,0.8613055944442749
23,1712641338.0376022,73600,-0.18655548989772797,0.8426374197006226
24,1712641339.2076695,76800,-0.1837725043296814,0.8519688248634338
25,1712641340.5423424,80000,-0.18121710419654846,0.8273955583572388
26,1712641341.8409972,83200,-0.180520161986351,0.8581079840660095
27,1712641343.2432504,86400,-0.17821191251277924,0.8617902398109436
28,1712641344.6045518,89600,-0.17582643032073975,0.870757520198822
29,1712641346.0244038,92800,-0.17169323563575745,0.853412926197052
30,1712641347.3769267,96000,-0.16977174580097198,0.8595019578933716
31,1712641349.0287154,99200,-0.16719990968704224,0.8595863580703735
32,1712641350.572557,102400,-0.16533417999744415,0.8528728485107422
33,1712641352.0905654,105600,-0.16368311643600464,0.8375650644302368
34,1712641353.7672908,108800,-0.16214953362941742,0.8456759452819824
35,1712641355.3098426,112000,-0.16055087745189667,0.8454315066337585
36,1712641356.8969498,115200,-0.15815165638923645,0.8615414500236511
37,1712641358.4947445,118400,-0.1557287573814392,0.8281677961349487
38,1712641360.0825298,121600,-0.1544189453125,0.8441461324691772
39,1712641361.6543956,124800,-0.15283413231372833,0.8277838826179504
40,1712641363.2439291,128000,-0.15182310342788696,0.8363555073738098
41,1712641364.841636,131200,-0.15140335261821747,0.865611732006073
42,1712641366.2056203,134400,-0.14987297356128693,0.8594946265220642
43,1712641367.5935786,137600,-0.14905907213687897,0.8335201144218445
44,1712641368.9513376,140800,-0.14778462052345276,0.8035505414009094
45,1712641370.3988497,144000,-0.14702516794204712,0.8474331498146057
46,1712641371.7524366,147200,-0.1453859806060791,0.8277393579483032
47,1712641373.1373878,150400,-0.14420321583747864,0.8096034526824951
48,1712641374.479747,153600,-0.142888143658638,0.8426767587661743
49,1712641376.0018835,156800,-0.1420973837375641,0.8347277641296387
50,1712641377.2946668,160000,-0.14498566091060638,0.9432763457298279
51,1712641378.6604354,163200,-0.14797204732894897,0.8564570546150208
52,1712641380.063307,166400,-0.147654190659523,0.877257227897644
53,1712641381.4821641,169600,-0.1467505246400833,0.8440325260162354
54,1712641382.8088417,172800,-0.14575301110744476,0.835009753704071
55,1712641384.1880069,176000,-0.14492332935333252,0.8172019720077515
56,1712641385.6106923,179200,-0.14420585334300995,0.8380895853042603
57,1712641387.0125158,182400,-0.14335468411445618,0.8274447917938232
58,1712641388.3745723,185600,-0.14294269680976868,0.8165484070777893
59,1712641389.853502,188800,-0.1422410011291504,0.8523106575012207
60,1712641391.171638,192000,-0.14136621356010437,0.8178674578666687
61,1712641392.5709083,195200,-0.1404886394739151,0.8672102093696594
62,1712641394.0207996,198400,-0.13973858952522278,0.8232709765434265
63,1712641395.4857142,201600,-0.1390485167503357,0.8474259972572327
64,1712641396.898777,204800,-0.13881467282772064,0.8359208106994629
65,1712641398.2492456,208000,-0.1383894830942154,0.8183389902114868
66,1712641399.6527886,211200,-0.13783356547355652,0.849093496799469
67,1712641401.0520737,214400,-0.13777095079421997,0.8665499091148376
68,1712641402.4223223,217600,-0.13709402084350586,0.8288637399673462
69,1712641403.8411582,220800,-0.13694317638874054,0.8267252445220947
70,1712641405.379936,224000,-0.13623711466789246,0.8215569853782654
71,1712641406.8821375,227200,-0.13579440116882324,0.8187716007232666
72,1712641408.3164053,230400,-0.13467244803905487,0.8185692429542542
73,1712641409.669584,233600,-0.13378317654132843,0.8348574042320251
74,1712641411.1395352,236800,-0.13301220536231995,0.8241186738014221
75,1712641412.509004,240000,-0.1322750449180603,0.8354684710502625
76,1712641413.8836768,243200,-0.13188862800598145,0.8134104013442993
77,1712641415.2507143,246400,-0.13168378174304962,0.8176490068435669
78,1712641416.639915,249600,-0.13127318024635315,0.827439546585083
79,1712641418.03342,252800,-0.13092972338199615,0.8149157762527466
80,1712641419.4173079,256000,-0.13032808899879456,0.8030426502227783
81,1712641420.7139227,259200,-0.13023188710212708,0.8201816082000732
82,1712641422.2059395,262400,-0.13030143082141876,0.8330075740814209
83,1712641423.4869702,265600,-0.13230983912944794,0.9511094689369202
84,1712641424.9061549,268800,-0.13260920345783234,0.8556095361709595
85,1712641426.279368,272000,-0.13202455639839172,0.842071533203125
86,1712641427.7179391,275200,-0.1316836178302765,0.815093994140625
87,1712641429.0666754,278400,-0.13175071775913239,0.8127925395965576
88,1712641430.4391136,281600,-0.1314620077610016,0.8221992254257202
89,1712641431.8885918,284800,-0.13089093565940857,0.8029044270515442
90,1712641433.2646253,288000,-0.13070712983608246,0.776183545589447
91,1712641434.624809,291200,-0.1301741749048233,0.8069058060646057
92,1712641436.0191326,294400,-0.1297018826007843,0.7990077137947083
93,1712641437.3916078,297600,-0.12908096611499786,0.8375053405761719
94,1712641438.871993,300800,-0.12863260507583618,0.8359917998313904
95,1712641440.1586757,304000,-0.12851713597774506,0.8294598460197449
96,1712641441.5478756,307200,-0.12827230989933014,0.8355536460876465
97,1712641442.9652278,310400,-0.12798726558685303,0.8159959316253662
98,1712641444.3583918,313600,-0.1278304010629654,0.8175109028816223
99,1712641445.7490165,316800,-0.12754741311073303,0.8134697079658508
100,1712641447.0659053,320000,-0.127121701836586,0.8091303110122681
101,1712641448.5261881,323200,-0.1262471228837967,0.8138348460197449
102,1712641449.9379458,326400,-0.12468105554580688,0.8308514952659607
103,1712641451.2867398,329600,-0.11989665031433105,0.8177124261856079
104,1712641452.6743798,332800,-0.11578488349914551,0.8274789452552795
105,1712641454.07439,336000,-0.11439472436904907,0.8081401586532593
106,1712641455.4651964,339200,-0.11359689384698868,0.8283206224441528
107,1712641456.8098736,342400,-0.11261551827192307,0.7907978892326355
108,1712641458.2391593,345600,-0.1115538626909256,0.8189990520477295
109,1712641459.6737797,348800,-0.11189928650856018,0.8651931881904602
110,1712641460.9820874,352000,-0.11102795600891113,0.8384758234024048
111,1712641462.3868225,355200,-0.11054474115371704,0.8250081539154053
112,1712641463.8470402,358400,-0.11027002334594727,0.7973039150238037
113,1712641465.200516,361600,-0.10943378508090973,0.7992907762527466
114,1712641466.542,364800,-0.10820378363132477,0.8073379397392273
115,1712641467.8913796,368000,-0.10770687460899353,0.8253675103187561
116,1712641469.3391597,371200,-0.10724647343158722,0.7967439293861389
117,1712641470.666744,374400,-0.10724571347236633,0.8123059272766113
118,1712641472.0898595,377600,-0.10681625455617905,0.8053379654884338
119,1712641473.4165466,380800,-0.10700467228889465,0.798768937587738
120,1712641474.8088043,384000,-0.10710800439119339,0.8054174780845642
121,1712641476.2445655,387200,-0.10717272758483887,0.7978611588478088
122,1712641477.7016535,390400,-0.1071367859840393,0.8219171166419983
123,1712641479.0598557,393600,-0.10710453242063522,0.8341109752655029
124,1712641480.5364375,396800,-0.10650747269392014,0.8410025238990784
125,1712641481.900334,400000,-0.10803946852684021,0.8945297002792358
126,1712641483.2597618,403200,-0.10824856162071228,0.8626255989074707
127,1712641484.6077943,406400,-0.108204185962677,0.8231008052825928
128,1712641486.0641472,409600,-0.1075577363371849,0.8196268677711487
129,1712641487.422987,412800,-0.10770495235919952,0.8246380686759949
130,1712641488.8149104,416000,-0.1072239950299263,0.8318667411804199
131,1712641490.3448007,419200,-0.10727014392614365,0.82537841796875
132,1712641491.6983168,422400,-0.10722355544567108,0.8086169958114624
133,1712641493.0474985,425600,-0.10724963992834091,0.8105373978614807
134,1712641494.4544156,428800,-0.106785848736763,0.8351908326148987
135,1712641495.861585,432000,-0.10693754255771637,0.8315077424049377
136,1712641497.2468233,435200,-0.10708590596914291,0.811432421207428
137,1712641498.5740962,438400,-0.10729983448982239,0.8387682437896729
138,1712641500.0590696,441600,-0.10714736580848694,0.7964701652526855
139,1712641501.423007,444800,-0.10701525956392288,0.800855278968811
140,1712641502.743993,448000,-0.10667633265256882,0.7935678362846375
141,1712641504.156963,451200,-0.10613628476858139,0.8168121576309204
142,1712641505.451344,454400,-0.10637746006250381,0.803843080997467
143,1712641506.9016418,457600,-0.10590436309576035,0.803559422492981
144,1712641508.2205532,460800,-0.10576913505792618,0.8158017992973328
145,1712641509.6403081,464000,-0.1055430918931961,0.7937336564064026
146,1712641511.0423455,467200,-0.10520618408918381,0.8195947408676147
147,1712641512.3471942,470400,-0.10528051108121872,0.8087231516838074
148,1712641513.77328,473600,-0.10563104599714279,0.8076645135879517
149,1712641515.124071,476800,-0.10514770448207855,0.8212478160858154
150,1712641516.5261405,480000,-0.10337979346513748,0.7872126698493958
151,1712641517.8692482,483200,-0.10114224255084991,0.8114136457443237
152,1712641519.2220044,486400,-0.10075008124113083,0.8352451920509338
153,1712641520.6166768,489600,-0.10094533115625381,0.7994126677513123
154,1712641522.1199565,492800,-0.10088569670915604,0.8165985345840454
155,1712641523.6126516,496000,-0.10058058798313141,0.810492992401123
156,1712641524.9379666,499200,-0.10028927773237228,0.8102757930755615
157,1712641526.2755992,502400,-0.1006043329834938,0.8201190829277039
158,1712641527.6133628,505600,-0.10072363168001175,0.8181278109550476
159,1712641529.0813818,508800,-0.1005731076002121,0.8014636039733887
160,1712641530.595544,512000,-0.10066290199756622,0.8253969550132751
161,1712641532.0411975,515200,-0.10068495571613312,0.8436021208763123
162,1712641533.6124141,518400,-0.1006765142083168,0.8097924590110779
163,1712641535.2596164,521600,-0.10030436515808105,0.8156466484069824
164,1712641536.6187215,524800,-0.09998692572116852,0.8196307420730591
165,1712641538.1557484,528000,-0.09970897436141968,0.8061400651931763
166,1712641539.7452555,531200,-0.09956011921167374,0.8197808861732483
167,1712641541.357003,534400,-0.09897314757108688,0.8176615238189697
168,1712641542.9490762,537600,-0.09891169518232346,0.7940836548805237
169,1712641544.5320158,540800,-0.09808811545372009,0.7981695532798767
170,1712641546.2170966,544000,-0.09803219139575958,0.83320152759552
171,1712641547.717153,547200,-0.09807881712913513,0.8069688677787781
172,1712641549.2732031,550400,-0.0985158160328865,0.8058558106422424
173,1712641550.9428718,553600,-0.09913505613803864,0.7751197814941406
174,1712641552.568976,556800,-0.09909787774085999,0.7958393096923828
175,1712641554.3388462,560000,-0.09929190576076508,0.8034393191337585
