episode,reward
55911837,-1.96
55941304,-5.76
55970811,-3.49
56000338,-4.52
56029553,-3.39
56058947,-2.575
56090207,-2.335
56124344,8.41
56160628,8.115
56197095,-7.405
56234957,-9.245
56274550,0.75
56315282,-0.855
56357006,-3.205
56397473,0.085
56438045,0.975
56477862,-1.315
56517599,12.935
56556877,-0.475
56595363,11.745
56634535,-2.06
56673760,2.1
56713012,0.67
56751552,4.54
56789794,-6.01
56829997,-3.385
56869736,-8.13
56908491,-14.37
56947333,-2.0
56987154,4.795
57026128,-2.355
57064709,-4.945
57102887,-3.14
57141681,-4.68
57180488,-1.06
57218633,1.455
57257230,-1.23
57296022,-0.785
57335094,-4.265
57374753,-0.1
