episode,reward
2528006,-12.965
2548962,3.015
2569949,-0.215
2590794,-7.565
2611556,-7.045
2632456,2.27
2653371,-3.895
2673883,-0.665
2693500,2.12
2712913,-1.48
2732712,1.655
2753227,0.23
2773987,-0.275
2795058,-8.37
2815806,-0.69
2837071,0.32
2858042,-3.225
2879628,-1.375
2901295,3.24
2923024,5.705
2944522,1.695
2965792,1.53
2987511,5.195
3009143,-0.245
3031066,2.345
3053311,0.235
3075043,-6.935
3096804,4.23
3119041,0.085
3141146,1.895
3162787,-1.25
3184462,-0.585
3206231,-0.18
3228173,-1.655
3249850,0.29
3271801,-2.135
3293588,0.565
3315434,10.15
3337398,-2.385
3359458,0.74
