episode,reward
33610994,-0.1525
33639284,0.08
33667852,-0.115
33696279,-0.1675
33724580,0.0275
33752970,-0.1625
33781520,0.145
33809762,-0.125
33844625,1.3075
33888770,1.95
33935550,1.96
33982237,1.3975
34029359,2.165
34076449,1.6725
34123748,2.075
34171781,1.9075
34219298,2.1925
34266797,2.0475
34314367,1.7925
34361066,1.8125
34408641,1.79
34456153,2.4525
34504077,2.54
34551852,2.005
34599322,1.83
34647562,2.365
34695621,2.02
34743383,1.6875
34792608,2.4575
34842231,2.6475
34890238,2.4625
34939243,2.155
34988455,2.575
35036677,2.2075
35084205,2.445
35132746,1.83
35181371,2.215
35230210,2.085
35278904,1.5575
35327553,2.32
