episode,reward
65880888,-2.395
65903791,-2.445
65926517,-2.38
65949239,-2.34
65972021,-2.445
65994838,-2.25
66017645,-2.26
66040478,-2.345
66063344,-2.33
66086552,-4.21
66109676,1.41
66132951,1.765
66156137,-3.465
66179222,2.19
66202281,-1.26
66225265,6.4
66248146,3.165
66270986,-1.35
66294020,4.705
66316780,4.305
66339814,2.33
66362667,3.71
66385682,-3.165
66408639,4.425
66431495,-2.01
66454377,-1.025
66477237,5.525
66500179,1.015
66523122,-4.01
66545927,-2.085
66568832,7.63
66591784,1.97
66614734,-1.03
66637612,1.155
66660564,3.42
66683324,5.89
66706014,9.555
66729001,8.875
66751692,2.235
66774643,5.47
