episode,reward
2,-1.6025
21192,-1.5611
42572,-1.7028
74387,-0.2888
104585,-0.3598
135529,0.5914
166572,0.6112
197441,-0.3078
228318,-0.1144
259142,-0.1753
289604,1.6992
319407,-0.0987
349529,2.4713
379421,1.3092
409354,0.9196
439635,1.4513
469894,1.8391
499467,2.3273
530299,1.2659
559656,2.3198
