episode,reward
1859998,-0.29
1871640,-0.325
1883331,-0.27
1895008,-0.385
1906700,-0.13
1918405,-0.31
1930144,-0.29
1941838,-0.235
1953584,-0.325
1965351,-0.345
1977139,-0.31
1988920,-0.42
2000604,-0.27
2012285,-0.325
2024015,-0.275
2035737,-0.085
2047500,-0.355
2059214,-0.315
2071041,-0.415
2082743,-0.205
2094472,-0.255
2106098,-0.32
2117833,-0.225
2129536,-0.31
2141241,-0.285
2152925,-0.305
2164671,-0.3
2176439,-0.335
2188128,-0.365
2199829,-0.22
2211531,-0.235
2223262,-0.23
2234965,-0.17
2246659,-0.285
2258433,-0.355
2270077,-0.325
2281839,-0.28
2293434,-0.295
2305174,-0.325
2316904,-0.12
