episode,reward
22930372,-0.99
22948642,-0.98
22966857,-0.99
22985140,-0.96
23003337,-0.98
23021613,-0.98
23039854,-0.97
23058186,-0.96
23076565,-0.99
23095088,-1.0
23111359,-0.545
23123513,-0.475
23134642,-0.155
23144992,-0.255
23155980,-0.09
23167214,-0.14
23178501,-0.08
23189906,-0.18
23201279,-0.205
23212473,-0.105
23223686,-0.21
23235036,-0.14
23246276,-0.03
23257846,-0.02
23269309,-0.125
23280829,-0.185
23292422,-0.105
23303815,-0.14
23315435,-0.07
23327008,-0.13
23338371,-0.155
23349421,-0.155
23360827,-0.155
23372028,-0.04
23383365,-0.08
23394825,-0.065
23406138,-0.1
23417590,-0.215
23429341,-0.16
23441166,-0.17
