episode,reward
10852245,0.0725
10869769,0.19
10887503,0.165
10905158,0.005
10922898,0.145
10940669,0.245
10958504,0.0875
10976246,0.15
10993669,0.1125
11011306,0.09
11028816,0.0925
11046536,0.08
11064160,-0.0875
11081837,0.0025
11099553,-0.005
11117159,0.17
11134677,0.235
11152158,0.165
11169794,0.0325
11187530,0.06
11205203,-0.165
11222926,0.065
11240417,-0.0675
11258162,-0.115
11275757,0.05
11298987,0.34
11326163,0.1
11353572,0.435
11380999,0.7325
11408849,0.29
11437297,0.205
11465481,0.1275
11493792,0.33
11522377,0.425
11550891,0.5575
11580106,0.635
11608926,0.4125
11637741,0.47
11666626,0.3375
11696463,0.2625
