episode,reward
6309411,-0.89
6325260,-0.9
6340957,-0.85
6356677,-0.88
6372336,-0.9
6387950,-0.87
6403799,-0.92
6419624,-0.89
6435360,-0.9
6451080,-0.83
6466802,-0.89
6480029,-0.11
6491807,-0.145
6503562,0.0
6515333,-0.08
6526953,-0.045
6538878,-0.13
6550757,-0.19
6562911,0.0
6574937,-0.12
6586942,-0.215
6599113,-0.09
6611316,-0.13
6623244,-0.07
6634912,-0.12
6646542,-0.22
6658481,-0.025
6670120,-0.01
6681806,-0.14
6693605,-0.27
6705078,-0.13
6716805,-0.205
6728467,-0.125
6740351,-0.125
6751889,-0.23
6763685,-0.12
6775286,-0.07
6786737,-0.05
6798343,-0.2
6810052,-0.26
