episode,reward
20328351,0.1675
20347798,-0.065
20367303,0.235
20387035,0.0
20406634,0.2425
20426186,0.2
20446058,0.1775
20465892,-0.0975
20485380,0.13
20504778,0.2375
20524249,-0.115
20543983,0.2125
20568952,0.5125
20595630,0.2275
20623011,0.3525
20650612,-0.1425
20677416,0.165
20705319,0.125
20732463,-0.005
20760138,0.35
20787142,0.36
20813892,0.3475
20840816,0.345
20867708,0.085
20895523,0.055
20922895,0.9425
20950963,-0.0425
20978992,0.2025
21006109,0.4925
21033924,0.625
21061137,0.1525
21088519,0.315
21116360,0.44
21144017,-0.2325
21171170,0.3
21198841,-0.03
21225463,0.0075
21252764,0.2625
21279325,0.42
21307133,0.695
