episode,reward
14262220,-0.885
14279180,-0.84
14296123,-0.85
14312915,-0.84
14329886,-0.885
14346809,-0.93
14363804,-0.895
14380744,-0.915
14397752,-0.93
14414641,-0.895
14431700,-0.845
14446137,-0.18
14459057,-0.175
14472845,-0.08
14486762,0.01
14500809,0.04
14515101,0.045
14529114,0.05
14542766,0.07
14557046,-0.085
14571266,0.01
14585499,0.09
14599792,0.015
14613814,-0.02
14628122,-0.085
14642484,-0.035
14656818,-0.065
14671050,-0.075
14685456,-0.01
14699970,-0.06
14714639,-0.065
14729049,0.025
14743521,0.03
14758304,-0.025
14773063,0.0
14787558,-0.1
14802367,-0.015
14817226,0.035
14832014,-0.115
14846964,-0.08
