episode,reward
42586123,0.1225
42606042,0.0225
42626009,-0.0325
42646145,0.01
42665780,0.3925
42685842,0.175
42705972,0.0475
42726025,-0.105
42745930,-0.09
42766076,0.0125
42786146,0.2375
42806069,0.0925
42826122,-0.26
42846330,-0.225
42866329,0.105
42886503,0.2175
42906228,0.095
42926175,0.1225
42953064,0.655
42980468,0.19
43008282,0.295
43036012,-0.02
43064329,0.3175
43092670,0.35
43121750,0.1925
43150333,0.2375
43178879,0.2075
43208097,0.11
43236622,0.5025
43266108,0.55
43295153,0.26
43323945,0.2225
43353261,0.1075
43382715,-0.1825
43411221,-0.0625
43441075,0.565
43469985,-0.005
43498838,-0.4275
43528064,0.2225
43556920,0.4475
