episode,reward
64845227,0.1275
64875054,-0.1975
64905053,-0.095
64934856,0.3125
64964558,0.19
64994115,0.0
65030036,1.8975
65077910,1.645
65125013,1.5325
65169917,1.5575
65216024,1.465
65262465,2.205
65308222,2.085
65355177,1.76
65401137,1.5525
65447576,2.145
65493612,1.4375
65539896,1.9475
65586213,1.775
65632736,1.5375
65680096,1.3375
65727052,1.955
65774186,1.5675
65821291,1.5425
65869145,2.18
65917286,1.7625
65965252,1.8575
66012986,2.0675
66061421,2.0875
66108753,2.0675
66156722,1.8125
66204176,2.3675
66251960,2.38
66300325,2.245
66348202,2.0425
66395059,1.745
66442302,2.02
66489446,2.085
66536688,2.0875
66583889,2.1425
