episode,reward
699,-0.865
70499,-0.8875
140294,-0.925
210175,-0.8575
280155,-0.8975
350116,-0.8675
420001,-0.8525
489887,-0.875
559899,-0.875
629854,-0.87
699745,-0.8375
769237,-0.835
839072,-0.8725
909000,-0.825
979075,-0.8425
1049019,-0.8175
1118927,-0.87
1188900,-0.905
1258774,-0.88
1328877,-0.885
1398812,-0.8525
1468544,-0.9
1538220,-0.9175
1608372,-0.89
1678110,-0.85
1748027,-0.865
1818294,-0.8575
1888383,-0.855
1958567,-0.8625
2028576,-0.875
2098451,-0.915
2168065,-0.8775
2238113,-0.855
2308096,-0.83
2378165,-0.8475
2447983,-0.8675
2517945,-0.855
2588042,-0.875
2658305,-0.865
2728221,-0.915
