episode,reward
62262956,0.97
62275731,1.04
62288420,0.99
62301207,1.005
62314045,0.975
62326549,1.03
62339270,1.0
62352054,1.495
62364895,1.075
62377589,1.01
62390268,1.01
62402933,1.085
62415798,1.0
62427940,0.0
62439861,0.54
62451688,1.53
62463563,0.515
62475508,1.575
62487486,1.575
62499697,0.485
62511907,2.05
62524212,-1.02
62536435,1.015
62548528,0.965
62560569,2.01
62572773,2.59
62584955,2.475
62597200,1.03
62609560,1.44
62621760,1.58
62633879,1.505
62646077,0.94
62658201,1.505
62670342,1.045
62682500,2.43
62694843,0.96
62707063,2.47
62719436,-0.505
62731643,0.04
62743765,1.085
