episode,reward
57184369,-0.105
57212519,-0.1375
57240633,-0.09
57268659,-0.095
57296959,0.0
57325173,-0.1075
57353074,-0.0825
57381576,-0.27
57409749,-0.2475
57438019,-0.1175
57466586,0.445
57501954,1.0475
57542257,0.9275
57582030,1.555
57623342,1.6425
57667892,1.3425
57711759,1.8975
57756745,2.135
57801389,1.6175
57846048,2.1425
57891036,2.5525
57936239,1.4325
57982528,1.7275
58029613,2.0075
58075824,1.9125
58121859,1.77
58166797,2.135
58211903,1.9625
58256557,2.12
58302036,2.205
58347411,2.255
58393701,1.8925
58441056,2.115
58488030,2.1725
58534394,1.51
58581306,2.625
58627275,1.975
58674341,2.0775
58721011,2.205
58767905,1.995
