episode,reward
447,0.22
20887,-0.3525
41852,0.09
62518,0.2625
83440,0.37
104242,0.1025
124789,0.1325
145314,0.205
165891,-0.0425
186587,0.3825
207166,0.0025
228106,0.0875
249088,0.2325
269716,0.3025
290388,0.1775
311340,0.1575
331721,0.185
352624,0.1925
373329,-0.1375
394098,0.215
414827,0.0175
435679,0.18
456346,-0.095
476858,0.165
497595,-0.1
518241,0.1225
538981,-0.1325
559759,-0.3025
581006,0.0925
602010,0.365
622383,0.195
643088,0.1875
663720,0.2925
684283,0.15
705221,-0.04
726108,-0.22
746927,0.3725
767785,0.175
788520,-0.1
809135,0.005
