episode,reward
12269579,-6.42
12289761,7.62
12309924,-0.4
12329666,-3.99
12349344,-1.44
12369167,-4.655
12388959,2.54
12408782,-8.98
12428553,-1.06
12448392,3.84
12468135,-3.535
12487899,-4.51
12507651,-1.515
12527435,3.265
12547270,0.375
12566986,0.975
12586746,7.84
12606561,2.4
12626515,-3.345
12646339,1.775
12666168,-1.565
12686009,3.42
12705832,0.88
12725617,3.265
12745499,0.325
12765409,2.41
12785292,3.645
12805220,1.395
12825069,-5.195
12845005,-1.67
12865051,-1.21
12885054,0.79
12905031,2.775
12925029,-0.725
12945002,4.235
12964914,9.635
12984906,-1.845
13004882,0.665
13024850,3.63
13044800,-3.235
