episode,reward
40671715,-0.015
40690903,-0.0275
40709911,0.0975
40728779,0.1675
40747996,0.0325
40766936,0.1925
40785822,0.19
40804935,0.0925
40823734,0.0225
40842300,0.15
40861583,0.005
40880394,0.1075
40899310,0.1175
40918067,0.235
40937006,0.12
40955891,-0.025
40974719,0.0975
40993894,-0.09
41012699,-0.1675
41035839,0.42
41065361,0.36
41094957,0.5875
41124075,0.1025
41154240,-0.55
41182766,0.3375
41211865,0.3175
41240474,0.37
41269547,0.0925
41297241,0.1725
41325808,0.21
41353937,0.265
41381249,0.3275
41409355,0.185
41436357,0.145
41464804,0.2675
41493533,-0.0925
41522129,0.3825
41550821,0.52
41577902,0.285
41604299,0.7675
