episode,reward
28092167,-0.0025
28111121,0.0575
28129633,-0.035
28148456,-0.005
28167271,0.1475
28185655,0.0025
28204211,0.05
28223013,0.03
28241716,0.165
28260349,0.1675
28278758,0.0775
28297375,0.155
28316063,0.1425
28334801,-0.02
28353514,0.1575
28372219,0.1125
28395018,0.515
28419858,0.43
28445611,0.5225
28472328,0.3125
28498716,0.115
28524239,0.415
28549590,0.285
28575021,0.3625
28601045,0.515
28628536,0.65
28655960,-0.16
28682504,0.37
28710359,-0.1725
28738269,0.225
28765325,0.3025
28793688,0.2875
28822179,0.1425
28849245,0.17
28876874,0.8975
28904577,-0.0875
28932052,0.26
28959855,0.0125
28988201,0.405
29016644,0.1
