episode,reward
26781932,1.435
26844367,6.785
26906905,4.645
26969240,5.105
27031738,9.46
27094715,4.05
27157171,6.18
27219780,5.2
27282436,5.35
27344924,5.175
27407568,4.44
27470347,7.245
27527655,12.49
27571388,14.455
27618069,16.875
27665493,13.15
27713378,12.52
27762305,10.455
27811379,13.65
27859374,17.54
27906482,16.175
27951782,14.3
27996346,10.175
28040873,10.515
28084659,10.53
28127727,11.75
28169368,12.535
28210209,9.725
28250918,6.05
28290885,9.83
28330450,8.47
28370215,10.64
28410487,10.67
28450923,6.99
28491463,8.68
28532830,6.33
28574705,11.465
28617416,5.845
28660409,5.215
28703447,7.94
