# _tick,_time,frames,mean_episode_return_0,loss_0
0,1714146690.5706987,0,-0.20115496218204498,0.9415318965911865
1,1714146691.243775,1050,-0.4349476099014282,32.36359405517578
2,1714146691.9403212,2100,-0.42289188504219055,4.582128047943115
3,1714146692.7329764,3150,-0.3651176393032074,1.0263630151748657
4,1714146693.4619057,4200,-0.407616525888443,1.0636802911758423
5,1714146694.2472267,5250,-0.3901536166667938,0.8561157584190369
6,1714146695.0565426,6300,-0.3577716648578644,0.9223925471305847
7,1714146695.8659205,7350,-0.33479973673820496,0.8843873739242554
8,1714146696.6822891,8400,-0.31848618388175964,0.9903721213340759
9,1714146697.4834816,9450,-0.3096306622028351,1.1810567378997803
10,1714146698.2051632,10500,-0.34179094433784485,0.8940457105636597
11,1714146698.942914,11550,-0.34030619263648987,0.8624568581581116
12,1714146699.6573148,12600,-0.33029162883758545,0.9921040534973145
13,1714146700.4347644,13650,-0.31621846556663513,0.9250686764717102
14,1714146701.1239948,14700,-0.3071385622024536,0.9098217487335205
15,1714146701.8117294,15750,-0.300312876701355,0.8548643589019775
16,1714146702.500466,16800,-0.2929899990558624,0.8829487562179565
17,1714146703.1647074,17850,-0.3120110034942627,0.42519867420196533
18,1714146703.853587,18900,-0.30934467911720276,1.5239068269729614
19,1714146704.5262327,19950,-0.31687867641448975,0.976203978061676
20,1714146705.206783,21000,-0.33736178278923035,0.8369729518890381
21,1714146705.8390555,22050,-0.35293349623680115,0.7051615715026855
22,1714146706.4555247,23100,-0.3581494092941284,0.8191446661949158
23,1714146707.0957613,24150,-0.35392704606056213,0.8857100605964661
24,1714146707.7604032,25200,-0.3477313220500946,0.9249311685562134
25,1714146708.4328852,26250,-0.34270036220550537,0.8609991073608398
26,1714146709.097395,27300,-0.33712178468704224,0.8450756072998047
27,1714146709.7458074,28350,-0.33049193024635315,0.8996373414993286
28,1714146710.4097602,29400,-0.32570019364356995,0.8393844366073608
29,1714146711.0770934,30450,-0.3198971748352051,0.9295067191123962
30,1714146711.7504299,31500,-0.31470030546188354,0.9059057235717773
