episode,reward
6300597,0.2575
6320101,0.05
6339108,-0.0425
6358818,0.0575
6378220,0.065
6397512,-0.005
6416793,-0.12
6436242,-0.1225
6455433,0.0175
6474647,0.28
6493652,0.12
6513391,0.2025
6532927,0.125
6552502,-0.12
6571739,0.0525
6591028,0.055
6610035,0.1325
6629143,0.23
6648453,0.07
6667570,-0.2225
6686854,0.355
6706127,0.1925
6725510,0.0775
6744837,0.21
6764328,0.1925
6783288,0.12
6802583,-0.0475
6821881,-0.12
6840822,0.08
6860236,0.0775
6879503,0.3675
6901451,-0.0175
6926918,0.465
6953406,-0.06
6979762,0.38
7006290,0.37
7032787,0.3625
7058648,0.9225
7085307,0.5725
7112072,0.14
