episode,reward
6821558,-0.035
6834294,-0.105
6847057,-0.145
6859769,-0.005
6872442,-0.205
6885167,-0.07
6897919,-0.155
6910396,-0.1
6923431,-0.175
6936700,-0.11
6949781,-0.15
6962642,-0.225
6975541,-0.065
6988678,-0.085
7001492,-0.185
7014654,-0.07
7027383,0.02
7040635,-0.045
7053906,-0.22
7066528,-0.16
7079630,-0.215
7092815,-0.225
7105120,-0.17
7117551,-0.16
7129933,-0.1
7142085,-0.205
7154365,-0.055
7166481,-0.155
7178531,-0.175
7190716,-0.015
7202765,-0.07
7214901,-0.1
7227367,-0.09
7239123,-0.275
7250927,-0.215
7262677,-0.13
7274617,-0.065
7286459,-0.07
7298830,-0.08
7310831,-0.125
