episode,reward
15401437,-0.165
15411494,-0.29
15421549,-0.16
15431609,-0.17
15441663,-0.135
15451720,-0.17
15461777,-0.14
15471837,-0.185
15481898,-0.14
15491955,-0.09
15502017,-0.1
15512072,-0.22
15522132,-0.215
15532185,-0.19
15542242,-0.18
15552297,-0.215
15562823,-0.285
15578977,-0.315
15594959,-0.34
15610683,-0.19
15626349,-0.175
15642032,-0.035
15657420,-0.03
15672740,-0.12
15688039,-0.135
15703156,-0.205
15718642,-0.145
15733924,-0.05
15749399,-0.07
15764428,-0.085
15779679,-0.07
15794881,-0.185
15810306,-0.045
15825636,-0.015
15840814,-0.08
15856214,-0.1
15871478,-0.085
15887240,-0.11
15902801,0.0
15918234,0.13
