episode,reward
610255,-0.96
628396,-0.92
646469,-0.94
664379,-0.93
682518,-0.87
700595,-0.96
718582,-0.98
736617,-0.94
754767,-0.92
773029,-0.92
790993,-0.51
803890,-0.06
818564,-0.01
833273,-0.12
847731,-0.1
862078,-0.04
876563,-0.01
891044,0.09
905766,-0.18
920447,-0.115
934930,-0.085
949425,-0.095
964283,0.005
979095,-0.285
993806,-0.005
1008572,-0.13
1023198,-0.075
1038015,-0.19
1052541,-0.095
1067352,-0.01
1082170,-0.005
1097165,0.025
1111925,-0.095
1126757,-0.115
1141768,-0.015
1156586,0.005
1171478,0.005
1186454,-0.17
1201530,-0.115
1216662,0.065
