episode,reward
60472922,-0.085
60501378,-0.0775
60529837,-0.115
60558184,-0.2475
60586249,-0.26
60614590,-0.13
60643049,-0.205
60671272,-0.1875
60699836,-0.02
60728272,-0.3525
60756646,-0.08
60785121,-0.06
60813284,0.0
60841454,-0.1725
60869633,0.065
60898120,-0.2675
60926422,0.005
60954742,-0.035
60982417,-0.185
61010593,0.265
61039093,0.185
61067761,0.1675
61096033,0.02
61124403,0.25
61152881,0.035
61181485,-0.07
61210062,-0.0875
61238356,-0.2625
61266683,0.0025
61306825,2.795
61355747,2.1525
61404287,2.835
61453994,2.5025
61502877,1.8375
61550286,2.1475
61598141,2.2225
61645305,1.9675
61693559,1.9
61741737,2.11
61790055,1.9425
