episode,reward
27205420,0.49
27224834,-0.05
27244646,0.075
27263944,0.08
27283560,0.085
27302981,0.195
27322442,0.255
27341791,0.0825
27361106,0.2175
27380243,0.1125
27399707,0.3975
27419000,0.225
27438098,0.255
27457330,-0.01
27476949,0.045
27496122,0.1875
27515528,0.0475
27535366,0.245
27554736,0.1275
27574173,-0.055
27593692,0.3
27613405,0.1675
27632762,0.025
27652508,0.0475
27671876,0.0475
27691294,0.0475
27715808,0.2475
27742845,0.56
27769811,-0.0175
27796546,0.4975
27823101,-0.1925
27849222,0.8075
27875579,0.7025
27902213,0.4325
27929206,0.2575
27956255,0.6675
27983725,0.555
28010823,-0.035
28038173,0.56
28065418,0.175
