episode,reward
2328601,-0.33
2340265,-0.105
2351901,-0.235
2363542,-0.3
2375138,-0.245
2386804,-0.19
2398406,-0.23
2409988,-0.16
2421629,-0.1
2433231,-0.175
2444851,-0.18
2456516,-0.19
2468114,-0.18
2479776,-0.225
2491429,-0.22
2503072,-0.125
2514695,-0.095
2526335,-0.23
2537933,-0.205
2549524,-0.075
2561145,-0.26
2572737,-0.34
2584324,-0.115
2595861,-0.105
2607485,-0.19
2619126,-0.235
2630783,-0.14
2642421,-0.17
2654128,0.01
2665739,-0.105
2677310,-0.23
2689020,-0.095
2700654,-0.095
2712335,-0.23
2723979,-0.15
2735619,-0.29
2747271,-0.145
2758949,-0.255
2770551,-0.305
2782138,-0.19
