episode,reward
31008478,-0.1225
31029110,0.1525
31049694,0.0825
31070696,-0.1325
31091658,-0.0575
31112479,0.1475
31132969,0.355
31154067,0.0975
31174401,-0.035
31195143,-0.0475
31215733,-0.0275
31236334,0.285
31256972,0.035
31277785,0.03
31298571,-0.11
31318902,-0.2325
31339730,0.1875
31360739,0.1025
31381722,0.39
31402421,0.115
31422946,0.1175
31443896,0.3625
31464636,0.1225
31485046,0.1025
31505709,0.2
31526291,0.1125
31547075,-0.2425
31567668,-0.3
31588229,0.1175
31608834,0.1825
31629480,-0.0975
31650056,-0.1925
31670996,0.2575
31691532,0.2575
31712103,-0.1875
31732859,-0.1225
31753821,-0.075
31774520,0.0425
31795252,0.23
31816325,0.09
